Genesis 1:1	In the beginning God created the heaven and the earth.
Psalms 18:32	It is God that girdeth me with strength, and maketh my way perfect.
Psalms 18:42	Then did I beat them small as the dust before the wind: I did cast them out as the dirt in the streets.
Psalms 19:2	Day unto day uttereth speech, and night unto night sheweth knowledge.
Psalms 19:12	Who can understand his errors? cleanse thou me from secret faults.
Psalms 20:8	They are brought down and fallen: but we are risen, and stand upright.
Psalms 21:9	Thou shalt make them as a fiery oven in the time of thine anger: the LORD shall swallow them up in his wrath, and the fire shall devour them.
Psalms 22:6	But I am a worm, and no man; a reproach of men, and despised of the people.
Psalms 22:16	For dogs have compassed me: the assembly of the wicked have inclosed me: they pierced my hands and my feet.
Psalms 22:26	The meek shall eat and be satisfied: they shall praise the LORD that seek him: your heart shall live for ever.
Psalms 23:5	Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over.
Psalms 24:9	Lift up your heads, O ye gates; even lift them up, ye everlasting doors; and the King of glory shall come in.
Psalms 25:9	The meek will he guide in judgment: and the meek will he teach his way.
Psalms 25:19	Consider mine enemies; for they are many; and they hate me with cruel hatred.
Psalms 26:7	That I may publish with the voice of thanksgiving, and tell of all thy wondrous works.
Psalms 27:5	For in the time of trouble he shall hide me in his pavilion: in the secret of his tabernacle shall he hide me; he shall set me up upon a rock.
Psalms 28:1	Unto thee will I cry, O LORD my rock; be not silent to me: lest, if thou be silent to me, I become like them that go down into the pit.
Psalms 29:2	Give unto the LORD the glory due unto his name; worship the LORD in the beauty of holiness.
Psalms 30:1	I will extol thee, O LORD; for thou hast lifted me up, and hast not made my foes to rejoice over me.
Psalms 30:11	Thou hast turned for me my mourning into dancing: thou hast put off my sackcloth, and girded me with gladness;
Psalms 31:9	Have mercy upon me, O LORD, for I am in trouble: mine eye is consumed with grief, yea, my soul and my belly.
Psalms 31:19	Oh how great is thy goodness, which thou hast laid up for them that fear thee; which thou hast wrought for them that trust in thee before the sons of men!
Psalms 32:5	I acknowledge my sin unto thee, and mine iniquity have I not hid. I said, I will confess my transgressions unto the LORD; and thou forgavest the iniquity of my sin. Selah.
Psalms 33:4	For the word of the LORD is right; and all his works are done in truth.
Psalms 33:14	From the place of his habitation he looketh upon all the inhabitants of the earth.
Psalms 34:2	My soul shall make her boast in the LORD: the humble shall hear thereof, and be glad.
Psalms 34:12	What man is he that desireth life, and loveth many days, that he may see good?
Psalms 34:22	The LORD redeemeth the soul of his servants: and none of them that trust in him shall be desolate.
Psalms 35:10	All my bones shall say, LORD, who is like unto thee, which deliverest the poor from him that is too strong for him, yea, the poor and the needy from him that spoileth him?
Psalms 35:20	For they speak not peace: but they devise deceitful matters against them that are quiet in the land.
Psalms 36:2	For he flattereth himself in his own eyes, until his iniquity be found to be hateful.
Psalms 36:12	There are the workers of iniquity fallen: they are cast down, and shall not be able to rise.
Psalms 37:10	For yet a little while, and the wicked shall not be: yea, thou shalt diligently consider his place, and it shall not be.
Psalms 37:20	But the wicked shall perish, and the enemies of the LORD shall be as the fat of lambs: they shall consume; into smoke shall they consume away.
Psalms 37:30	The mouth of the righteous speaketh wisdom, and his tongue talketh of judgment.
Psalms 37:40	And the LORD shall help them, and deliver them: he shall deliver them from the wicked, and save them, because they trust in him.
Psalms 38:10	My heart panteth, my strength faileth me: as for the light of mine eyes, it also is gone from me.
Psalms 38:20	They also that render evil for good are mine adversaries; because I follow the thing that good is.
Psalms 39:8	Deliver me from all my transgressions: make me not the reproach of the foolish.
Psalms 40:5	Many, O LORD my God, are thy wonderful works which thou hast done, and thy thoughts which are to us-ward: they cannot be reckoned up in order unto thee: if I would declare and speak of them, they are more than can be numbered.
Psalms 40:15	Let them be desolate for a reward of their shame that say unto me, Aha, aha.
Psalms 41:8	An evil disease, say they, cleaveth fast unto him: and now that he lieth he shall rise up no more.
Psalms 42:5	Why art thou cast down, O my soul? and why art thou disquieted in me? hope thou in God: for I shall yet praise him for the help of his countenance.
Psalms 43:4	Then will I go unto the altar of God, unto God my exceeding joy: yea, upon the harp will I praise thee, O God my God.
Psalms 44:9	But thou hast cast off, and put us to shame; and goest not forth with our armies.
Psalms 44:19	Though thou hast sore broken us in the place of dragons, and covered us with the shadow of death.
Psalms 45:3	Gird thy sword upon thy thigh, O most mighty, with thy glory and thy majesty.
Psalms 45:13	The king's daughter is all glorious within: her clothing is of wrought gold.
Psalms 46:6	The heathen raged, the kingdoms were moved: he uttered his voice, the earth melted.
Psalms 47:5	God is gone up with a shout, the LORD with the sound of a trumpet.
Psalms 48:6	Fear took hold upon them there, and pain, as of a woman in travail.
Psalms 49:2	Both low and high, rich and poor, together.
Psalms 49:12	Nevertheless man being in honour abideth not: he is like the beasts that perish.
Psalms 50:2	Out of Zion, the perfection of beauty, God hath shined.
Psalms 50:12	If I were hungry, I would not tell thee: for the world is mine, and the fulness thereof.
Psalms 50:22	Now consider this, ye that forget God, lest I tear you in pieces, and there be none to deliver.
Psalms 51:9	Hide thy face from my sins, and blot out all mine iniquities.
Psalms 51:19	Then shalt thou be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: then shall they offer bullocks upon thine altar.
Psalms 53:1	The fool hath said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that doeth good.
Psalms 54:5	He shall reward evil unto mine enemies: cut them off in thy truth.
Psalms 55:8	I would hasten my escape from the windy storm and tempest.
Psalms 55:18	He hath delivered my soul in peace from the battle that was against me: for there were many with me.
Psalms 56:5	Every day they wrest my words: all their thoughts are against me for evil.
Psalms 57:2	I will cry unto God most high; unto God that performeth all things for me.
Psalms 58:1	Do ye indeed speak righteousness, O congregation? do ye judge uprightly, O ye sons of men?
Psalms 58:11	So that a man shall say, Verily there is a reward for the righteous: verily he is a God that judgeth in the earth.
Psalms 59:10	The God of my mercy shall prevent me: God shall let me see my desire upon mine enemies.
Psalms 60:3	Thou hast shewed thy people hard things: thou hast made us to drink the wine of astonishment.
Psalms 61:1	Hear my cry, O God; attend unto my prayer.
Psalms 62:3	How long will ye imagine mischief against a man? ye shall be slain all of you: as a bowing wall shall ye be, and as a tottering fence.
Psalms 63:1	O God, thou art my God; early will I seek thee: my soul thirsteth for thee, my flesh longeth for thee in a dry and thirsty land, where no water is;
Psalms 63:11	But the king shall rejoice in God; every one that sweareth by him shall glory: but the mouth of them that speak lies shall be stopped.
