Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
James 4:6	But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.
James 4:16	But now ye rejoice in your boastings: all such rejoicing is evil.
James 5:9	Grudge not one against another, brethren, lest ye be condemned: behold, the judge standeth before the door.
James 5:19	Brethren, if any of you do err from the truth, and one convert him;
1 Peter 1:9	Receiving the end of your faith, even the salvation of your souls.
1 Peter 1:19	But with the precious blood of Christ, as of a lamb without blemish and without spot:
1 Peter 2:4	To whom coming, as unto a living stone, disallowed indeed of men, but chosen of God, and precious,
1 Peter 2:14	Or unto governors, as unto them that are sent by him for the punishment of evildoers, and for the praise of them that do well.
1 Peter 2:24	Who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed.
1 Peter 3:9	Not rendering evil for evil, or railing for railing: but contrariwise blessing; knowing that ye are thereunto called, that ye should inherit a blessing.
1 Peter 3:19	By which also he went and preached unto the spirits in prison;
1 Peter 4:7	But the end of all things is at hand: be ye therefore sober, and watch unto prayer.
1 Peter 4:17	For the time is come that judgment must begin at the house of God: and if it first begin at us, what shall the end be of them that obey not the gospel of God?
1 Peter 5:8	Be sober, be vigilant; because your adversary the devil, as a roaring lion, walketh about, seeking whom he may devour:
2 Peter 1:4	Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.
2 Peter 1:14	Knowing that shortly I must put off this my tabernacle, even as our Lord Jesus Christ hath shewed me.
2 Peter 2:3	And through covetousness shall they with feigned words make merchandise of you: whose judgment now of a long time lingereth not, and their damnation slumbereth not.
2 Peter 2:13	And shall receive the reward of unrighteousness, as they that count it pleasure to riot in the day time. Spots they are and blemishes, sporting themselves with their own deceivings while they feast with you;
2 Peter 3:1	This second epistle, beloved, I now write unto you; in both which I stir up your pure minds by way of remembrance:
2 Peter 3:11	Seeing then that all these things shall be dissolved, what manner of persons ought ye to be in all holy conversation and godliness,
1 John 1:3	That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ.
1 John 2:3	And hereby we do know that we know him, if we keep his commandments.
1 John 2:13	I write unto you, fathers, because ye have known him that is from the beginning. I write unto you, young men, because ye have overcome the wicked one. I write unto you, little children, because ye have known the Father.
1 John 2:23	Whosoever denieth the Son, the same hath not the Father: he that acknowledgeth the Son hath the Father also.
1 John 3:4	Whosoever committeth sin transgresseth also the law: for sin is the transgression of the law.
1 John 3:14	We know that we have passed from death unto life, because we love the brethren. He that loveth not his brother abideth in death.
1 John 3:24	And he that keepeth his commandments dwelleth in him, and he in him. And hereby we know that he abideth in us, by the Spirit which he hath given us.
1 John 4:10	Herein is love, not that we loved God, but that he loved us, and sent his Son to be the propitiation for our sins.
1 John 4:20	If a man say, I love God, and hateth his brother, he is a liar: for he that loveth not his brother whom he hath seen, how can he love God whom he hath not seen?
1 John 5:9	If we receive the witness of men, the witness of God is greater: for this is the witness of God which he hath testified of his Son.
1 John 5:19	And we know that we are of God, and the whole world lieth in wickedness.
2 John 1:8	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.
3 John 1:5	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;
Jude 1:1	Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:
Jude 1:11	Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core.
Jude 1:21	Keep yourselves in the love of God, looking for the mercy of our Lord Jesus Christ unto eternal life.
Revelation 1:6	And hath made us kings and priests unto God and his Father; to him be glory and dominion for ever and ever. Amen.
Revelation 1:16	And he had in his right hand seven stars: and out of his mouth went a sharp twoedged sword: and his countenance was as the sun shineth in his strength.
Revelation 2:6	But this thou hast, that thou hatest the deeds of the Nicolaitanes, which I also hate.
Revelation 2:16	Repent; or else I will come unto thee quickly, and will fight against them with the sword of my mouth.
Revelation 2:26	And he that overcometh, and keepeth my works unto the end, to him will I give power over the nations:
Revelation 3:7	And to the angel of the church in Philadelphia write; These things saith he that is holy, he that is true, he that hath the key of David, he that openeth, and no man shutteth; and shutteth, and no man openeth;
Revelation 3:17	Because thou sayest, I am rich, and increased with goods, and have need of nothing; and knowest not that thou art wretched, and miserable, and poor, and blind, and naked:
Revelation 4:5	And out of the throne proceeded lightnings and thunderings and voices: and there were seven lamps of fire burning before the throne, which are the seven Spirits of God.
Revelation 5:4	And I wept much, because no man was found worthy to open and to read the book, neither to look thereon.
Revelation 5:14	And the four beasts said, Amen. And the four and twenty elders fell down and worshipped him that liveth for ever and ever.
Revelation 6:10	And they cried with a loud voice, saying, How long, O Lord, holy and true, dost thou not judge and avenge our blood on them that dwell on the earth?
Revelation 7:3	Saying, Hurt not the earth, neither the sea, nor the trees, till we have sealed the servants of our God in their foreheads.
Revelation 7:13	And one of the elders answered, saying unto me, What are these which are arrayed in white robes? and whence came they?
Revelation 8:6	And the seven angels which had the seven trumpets prepared themselves to sound.
Revelation 9:3	And there came out of the smoke locusts upon the earth: and unto them was given power, as the scorpions of the earth have power.
Revelation 9:13	And the sixth angel sounded, and I heard a voice from the four horns of the golden altar which is before God,
Revelation 10:2	And he had in his hand a little book open: and he set his right foot upon the sea, and his left foot on the earth,
