Genesis 1:3	And God said, Let there be light: and there was light.
Song of Solomon 8:12	My vineyard, which is mine, is before me: thou, O Solomon, must have a thousand, and those that keep the fruit thereof two hundred.
Isaiah 1:8	And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.
Isaiah 1:18	Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
Isaiah 1:28	And the destruction of the transgressors and of the sinners shall be together, and they that forsake the LORD shall be consumed.
Isaiah 2:7	Their land also is full of silver and gold, neither is there any end of their treasures; their land is also full of horses, neither is there any end of their chariots:
Isaiah 2:17	And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low: and the LORD alone shall be exalted in that day.
Isaiah 3:5	And the people shall be oppressed, every one by another, and every one by his neighbour: the child shall behave himself proudly against the ancient, and the base against the honourable.
Isaiah 3:15	What mean ye that ye beat my people to pieces, and grind the faces of the poor? saith the Lord GOD of hosts.
Isaiah 3:25	Thy men shall fall by the sword, and thy mighty in the war.
Isaiah 5:3	And now, O inhabitants of Jerusalem, and men of Judah, judge, I pray you, betwixt me and my vineyard.
Isaiah 5:13	Therefore my people are gone into captivity, because they have no knowledge: and their honourable men are famished, and their multitude dried up with thirst.
Isaiah 5:23	Which justify the wicked for reward, and take away the righteousness of the righteous from him!
Isaiah 6:3	And one cried unto another, and said, Holy, holy, holy, is the LORD of hosts: the whole earth is full of his glory.
Isaiah 6:13	But yet in it shall be a tenth, and it shall return, and shall be eaten: as a teil tree, and as an oak, whose substance is in them, when they cast their leaves: so the holy seed shall be the substance thereof.
Isaiah 7:10	Moreover the LORD spake again unto Ahaz, saying,
Isaiah 7:20	In the same day shall the Lord shave with a razor that is hired, namely, by them beyond the river, by the king of Assyria, the head, and the hair of the feet: and it shall also consume the beard.
Isaiah 8:5	The LORD spake also unto me again, saying,
Isaiah 8:15	And many among them shall stumble, and fall, and be broken, and be snared, and be taken.
Isaiah 9:3	Thou hast multiplied the nation, and not increased the joy: they joy before thee according to the joy in harvest, and as men rejoice when they divide the spoil.
Isaiah 9:13	For the people turneth not unto him that smiteth them, neither do they seek the LORD of hosts.
Isaiah 10:2	To turn aside the needy from judgment, and to take away the right from the poor of my people, that widows may be their prey, and that they may rob the fatherless!
Isaiah 10:12	Wherefore it shall come to pass, that when the Lord hath performed his whole work upon mount Zion and on Jerusalem, I will punish the fruit of the stout heart of the king of Assyria, and the glory of his high looks.
Isaiah 10:22	For though thy people Israel be as the sand of the sea, yet a remnant of them shall return: the consumption decreed shall overflow with righteousness.
Isaiah 10:32	As yet shall he remain at Nob that day: he shall shake his hand against the mount of the daughter of Zion, the hill of Jerusalem.
Isaiah 11:8	And the sucking child shall play on the hole of the asp, and the weaned child shall put his hand on the cockatrice' den.
Isaiah 12:2	Behold, God is my salvation; I will trust, and not be afraid: for the LORD JEHOVAH is my strength and my song; he also is become my salvation.
Isaiah 13:6	Howl ye; for the day of the LORD is at hand; it shall come as a destruction from the Almighty.
Isaiah 13:16	Their children also shall be dashed to pieces before their eyes; their houses shall be spoiled, and their wives ravished.
Isaiah 14:4	That thou shalt take up this proverb against the king of Babylon, and say, How hath the oppressor ceased! the golden city ceased!
Isaiah 14:14	I will ascend above the heights of the clouds; I will be like the most High.
Isaiah 14:24	The LORD of hosts hath sworn, saying, Surely as I have thought, so shall it come to pass; and as I have purposed, so shall it stand:
Isaiah 15:2	He is gone up to Bajith, and to Dibon, the high places, to weep: Moab shall howl over Nebo, and over Medeba: on all their heads shall be baldness, and every beard cut off.
Isaiah 16:3	Take counsel, execute judgment; make thy shadow as the night in the midst of the noonday; hide the outcasts; bewray not him that wandereth.
Isaiah 16:13	This is the word that the LORD hath spoken concerning Moab since that time.
Isaiah 17:9	In that day shall his strong cities be as a forsaken bough, and an uppermost branch, which they left because of the children of Israel: and there shall be desolation.
Isaiah 18:5	For afore the harvest, when the bud is perfect, and the sour grape is ripening in the flower, he shall both cut off the sprigs with pruning hooks, and take away and cut down the branches.
Isaiah 19:8	The fishers also shall mourn, and all they that cast angle into the brooks shall lament, and they that spread nets upon the waters shall languish.
Isaiah 19:18	In that day shall five cities in the land of Egypt speak the language of Canaan, and swear to the LORD of hosts; one shall be called, The city of destruction.
Isaiah 20:3	And the LORD said, Like as my servant Isaiah hath walked naked and barefoot three years for a sign and wonder upon Egypt and upon Ethiopia;
Isaiah 21:7	And he saw a chariot with a couple of horsemen, a chariot of asses, and a chariot of camels; and he hearkened diligently with much heed:
Isaiah 21:17	And the residue of the number of archers, the mighty men of the children of Kedar, shall be diminished: for the LORD God of Israel hath spoken it.
Isaiah 22:10	And ye have numbered the houses of Jerusalem, and the houses have ye broken down to fortify the wall.
Isaiah 22:20	And it shall come to pass in that day, that I will call my servant Eliakim the son of Hilkiah:
Isaiah 23:5	As at the report concerning Egypt, so shall they be sorely pained at the report of Tyre.
Isaiah 23:15	And it shall come to pass in that day, that Tyre shall be forgotten seventy years, according to the days of one king: after the end of seventy years shall Tyre sing as an harlot.
Isaiah 24:7	The new wine mourneth, the vine languisheth, all the merryhearted do sigh.
Isaiah 24:17	Fear, and the pit, and the snare, are upon thee, O inhabitant of the earth.
Isaiah 25:4	For thou hast been a strength to the poor, a strength to the needy in his distress, a refuge from the storm, a shadow from the heat, when the blast of the terrible ones is as a storm against the wall.
Isaiah 26:2	Open ye the gates, that the righteous nation which keepeth the truth may enter in.
Isaiah 26:12	LORD, thou wilt ordain peace for us: for thou also hast wrought all our works in us.
Isaiah 27:1	In that day the LORD with his sore and great and strong sword shall punish leviathan the piercing serpent, even leviathan that crooked serpent; and he shall slay the dragon that is in the sea.
Isaiah 27:11	When the boughs thereof are withered, they shall be broken off: the women come, and set them on fire: for it is a people of no understanding: therefore he that made them will not have mercy on them, and he that formed them will shew them no favour.
Isaiah 28:8	For all tables are full of vomit and filthiness, so that there is no place clean.
Isaiah 28:18	And your covenant with death shall be disannulled, and your agreement with hell shall not stand; when the overflowing scourge shall pass through, then ye shall be trodden down by it.
Isaiah 28:28	Bread corn is bruised; because he will not ever be threshing it, nor break it with the wheel of his cart, nor bruise it with his horsemen.
Isaiah 29:9	Stay yourselves, and wonder; cry ye out, and cry: they are drunken, but not with wine; they stagger, but not with strong drink.
Isaiah 29:19	The meek also shall increase their joy in the LORD, and the poor among men shall rejoice in the Holy One of Israel.
Isaiah 30:5	They were all ashamed of a people that could not profit them, nor be an help nor profit, but a shame, and also a reproach.
Isaiah 30:15	For thus saith the Lord GOD, the Holy One of Israel; In returning and rest shall ye be saved; in quietness and in confidence shall be your strength: and ye would not.
Isaiah 30:25	And there shall be upon every high mountain, and upon every high hill, rivers and streams of waters in the day of the great slaughter, when the towers fall.
Isaiah 31:2	Yet he also is wise, and will bring evil, and will not call back his words: but will arise against the house of the evildoers, and against the help of them that work iniquity.
Isaiah 32:3	And the eyes of them that see shall not be dim, and the ears of them that hear shall hearken.
Isaiah 32:13	Upon the land of my people shall come up thorns and briers; yea, upon all the houses of joy in the joyous city:
Isaiah 33:3	At the noise of the tumult the people fled; at the lifting up of thyself the nations were scattered.
Isaiah 33:13	Hear, ye that are far off, what I have done; and, ye that are near, acknowledge my might.
Isaiah 33:23	Thy tacklings are loosed; they could not well strengthen their mast, they could not spread the sail: then is the prey of a great spoil divided; the lame take the prey.
Isaiah 34:9	And the streams thereof shall be turned into pitch, and the dust thereof into brimstone, and the land thereof shall become burning pitch.
Isaiah 35:2	It shall blossom abundantly, and rejoice even with joy and singing: the glory of Lebanon shall be given unto it, the excellency of Carmel and Sharon, they shall see the glory of the LORD, and the excellency of our God.
